,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PIP Phase,Draft Date,"Voted 
Started","Vote 
Ended",Status,PDF sent to Foundation,Markdown sent to ATMTA,Step #,PIP,PIP Name,Amount,Type,"DAO ROI
What did it accomplish?",Ecosystem Fund?,"Vote 
Result","# of 
Votes","PVP 
Voted (M)","PVP 
Participation","Total 
PVP (M)",Yes,No,Abstain,Category,SAC Term,Note,Total Amount Paid (USDC),Total Amount Left (USDC),Total Amount Paid (ATLAS),Total Amount Left (ATLAS),Completed Milestones,Total Payment Milestones,,,,,
Voting,,7/10/2024,7/23/2024,Actionable,TRUE,TRUE,10,PIP-1,Star Atlas DAO,0,,"Created Star Atlas DAO initiative, expectations, and participation venue by community members.",No,Passed,894,175,32%,541,68%,29%,4%,Governance,N/A,,,,,,1,1,,,,,
Voting,,7/10/2024,7/23/2024,Actionable,TRUE,TRUE,10,PIP-2,Foundation,"100,000",USDC,Created company that acted as legal representation to protect the DAO,No,Passed,852,176,33%,541,57%,39%,4%,Governance,N/A,,?,,,,1,1,,,,,
Voting,,7/24/2024,8/6/2024,Actionable,TRUE,TRUE,10,PIP-3,Star Atlas Council,0,,Created SA DAO Council voting ability and community representation at leadership level.,No,Passed,479,97,18%,541,87%,13%,0%,Governance,N/A,,,,,,1,1,,,,,
Voting,,7/24/2024,8/6/2024,Actionable,TRUE,TRUE,10,PIP-4,Star Atlas Ecosystem Fund,0,,Expedited 20 PIPs to for funding. Expedited low-ATLAS/Dollar projects related to SA community for execution,No,Passed,460,96,18%,541,85%,15%,0%,Ecosystem Fund,N/A,,,,,,1,1,,,,,
Voting,,7/26/2024,8/9/2024,Actionable,TRUE,TRUE,10,PIP-5,Co-Sponsor the Naabathon,"6,000,000",ATLAS,"Hosted community competition to create tools and services. 

Winners were: 
ATOM Service. 
Atlas Link by harshh.16 and sidh1999
Star Atlas Crew Dashboard by Aephia 
Star Atlas Dispatcher by Teykarat
Warfront Invasion by visualjc 
Eveeye Ship Comparison and Viewer ",YES,Passed,411,101,19%,541,80%,20%,1%,Governance,N/A,,,,"6,000,000.00",0,1,1,,,,,
Voting,,9/14/2024,9/21/2024,Actionable,TRUE,TRUE,10,PIP-6,Council Election #1 - First Round,0,,See PIP-3 impact,No,Passed,587,161,30%,541,N/A,N/A,N/A,Governance,N/A,,,,,,1,1,,,,,
Voting,,9/27/2024,10/11/2024,Actionable,TRUE,TRUE,10,PIP-7,Council Election #1 - Second Round,0,,"Elected 5 volunteers giving ~260 hours to SA DAO of 53K tokenholders, established knowledgebase and enacted voting mechanic improvements",No,Passed,576,175,32%,541,N/A,N/A,N/A,Ecosystem Fund,N/A,,,,,,1,1,,,,,
Voting,,2/20/2025,2/26/2025,Actionable,TRUE,TRUE,10,PIP-8,Star Atlas Comet: Community Meetup at Gamescom 2025,"7,472",Pounds,"70 SA community members attended, built camaraderie of SA community, celebration post had ## impression on X. 
Sponsors alongside SA DAO: Superphoenix DAO, SA TV, SAG, AEP, Polaris Fuel. Community experts present to introduce people to SA. Presentations from well known community members to introduce SA ecosystem, DAO, the DACs and what they do. Livestreamed e-sport competition (Iris Quest) at the venue. Merch distributed to attendees.
",YES,Passed,285,85,16%,541,85%,14%,1%,Ecosystem Fund,SAC-1,First PIP that had SAC-1 involvement,,,"7,723,034.00",0,1,1,,,,,
Voting,,2/28/2025,3/6/2025,Actionable,TRUE,TRUE,10,PIP-9,Adjust STV Backup Vote Handling to Prevent Unintended Vote Redistribution,0,,"Improved voting mechanic by nullifying ""supercharged"" votes that imbalance voting outcomes of PIPs",No,Passed,127,61,11%,541,99%,1%,0%,Governance,SAC-1,,,,,,1,1,,,,,
Voting,,2/28/2025,3/13/2025,Actionable,TRUE,TRUE,10,PIP-10,Star Atlas Council: Second Term & Beyond,0,,See PIP-3 impact,No,Passed,211,86,16%,541,99%,1%,0%,Governance,SAC-1,,,,,,1,1,,,,,
Voting,,3/23/2025,4/6/2025,Actionable,TRUE,TRUE,10,PIP-11,Council Election #2,0,,"5 SAC-3 council members volunteered ~675+ hours over 9 months, completing 147 accomplishments positively affecting the SA DAO ecosystem, paying out 61.5M ATLAS for PIP authors, facilitating voting process for 14 PIPs with 2.2K votes cast, achieving average voter participation rate of 19%, publishing 48 DAO transparency reports",No,Passed,348,150,28%,541,N/A,N/A,N/A,Governance,SAC-1,,,,,,1,1,,,,,
Closed,,4/14/2025,4/27/2025,Actionable,TRUE,TRUE,10,PIP-12,Iris’s Bounty: The Feast,"10,000",USDC,"## Feast events funded, ## total SA community members attended, built camaraderie of SA community, total celebration post had ## impression on X",YES,Passed,143,84,16%,541,65%,19%,15%,Ecosystem Fund,SAC-2,,,,"7,429,420.00",0,1,1,,,,,
Voting,,4/15/2025,4/28/2025,Actionable,TRUE,TRUE,9b,PIP-13,Implementing Term Limits for Star Atlas DAO Council Members,0,,N/A,No,Failed,161,85,16%,541,27%,68%,4%,Governance,SAC-2,,,,N/A,,1,1,,,,,
Closed,,4/17/2025,4/30/2025,Actionable,TRUE,TRUE,10,PIP-14,Deepening THEO Integration into the Star Atlas Economy,"10,000",USDC,None. PIP was terminated due non-performance of PIP deliverables,YES,Passed,176,108,20%,541,93%,7%,0%,Ecosystem Fund,SAC-2,,,,"4,462,301.00","25,125,628.14",1,2,,,,,
Voting,,5/9/2025,5/22/2025,Actionable,TRUE,TRUE,9b,PIP-15,In-Person Community Meetups Platform,"9,540",USDC,N/A,YES,Failed,161,104,19%,548,37%,60%,3%,Ecosystem Fund,SAC-2,,,,N/A,,N/A,N/A,,,,,
Voting,,5/9/2025,5/22/2025,Actionable,TRUE,TRUE,10,PIP-16,Ryden Systems,"10,000",USDC,Funded widely used Eveeye project that makes playing SAGE easy with superior information.,YES,Passed,202,107,20%,548,76%,7%,18%,Ecosystem Fund,SAC-2,Transitioning from Eveeye Star Atlas,"8,464.79",,"7,985,657.00",0,1,1,,,,,
Closed,,5/30/2025,6/12/2025,Actionable,TRUE,TRUE,10,PIP-17,Star Atlas Ecosystem Media Expansion Proposal by Lord Raspy III,"20,000,000",ATLAS,None. PIP was canceled due to non-performance of PIP deliverables.,YES,Passed,194,111,20%,548,61%,39%,1%,Ecosystem Fund,SAC-2,,,,0.00,,0,1,,Goes into Dashboard in Powerpoint Slides,,,
Voting,,7/4/2025,7/17/2025,Actionable,TRUE,TRUE,10,PIP-18,Marketing & Merch Expansion for Gamescom 2025,"5,775",Euros,Expanded success of PIP-8 by giving more merch out,YES,Passed,116,55,10%,548,75%,21%,4%,Ecosystem Fund,SAC-2,,,,"5,781,393.00",0,2,2,,,,,
Voting,6/14/2025,9/21/2025,10/5/2025,Actionable,TRUE,TRUE,9b,PIP-19,Funding Independent Economic Research and Maintenance of Critical Data Resources [Comprehensive PIP],"11,200,000",ATLAS,N/A,YES,Failed,157,144,25%,573,41%,58%,1%,Ecosystem Fund,SAC-2,,,,N/A,,N/A,N/A,,SAC-1,SAC-2,SAC-3,
Voting,4/2/2025,10/1/2025,10/15/2025,Actionable,TRUE,TRUE,10,PIP-20,Creation of DAO Caster Role,"10,800,000",ATLAS,Elected 5 content creators producing 4 content pieces a month on social media. Earned ## impressions on X and ## views on YouTube. ,YES,Passed,150,122,21%,577,87%,13%,0%,Ecosystem Fund,SAC-2,,,,"4,320,000.00","5,400,000",0,1,PIPs Completed Voting,18,14,9,
Voting,7/21/2025,10/1/2025,10/15/2025,Actionable,TRUE,TRUE,10,PIP-21,Rogue Data Hub (RDH),"8,820",USDC,Funded website that indexes and processes 20 programs (smart contracts) of on-chain Star Atlas data,YES,Passed,184,147,25%,577,52%,38%,10%,Ecosystem Fund,SAC-2,,"2,083.00",,"7,317,073.00","35,225,130.90",?,2,Total # of Votes,971,2212,1236,
Voting,9/29/2025,11/5/2025,11/18/2025,Actionable,TRUE,TRUE,10,PIP-22,Iris Bounty - The Arena,"11,000,000",ATLAS,Funded 3 self-organized community tournaments which earned top 1% Twitch/10% YouTube livestream channels for 2 months,YES,Passed,117,141,23%,623,98%,2%,0%,Ecosystem Fund,SAC-2,,,,"2,000,000.00","9,000,000",0,1,Total PVP Participated,382,1539,1367,M
