id,author,handle,content,likes,retweets,replies,views,date,link,is_retweet
2077151150327877701,"Star Atlas",staratlas,"Hello, mutuals. https://pbs.twimg.com/media/HNN7H3ZawAAcGrX.jpg",88,8,7,5358,7/14/2026,https://x.com/staratlas/status/2077151150327877701,false
2076401003545686328,"Star Atlas",staratlas,"Sundays are for gaming.",135,8,12,23627,7/12/2026,https://x.com/staratlas/status/2076401003545686328,false
2075693960702628288,"Star Atlas",staratlas,"Feels like a lifetime ago. But we're still here shipping ships.",195,15,10,15637,7/10/2026,https://x.com/staratlas/status/2075693960702628288,false
2075354317423522155,"Star Atlas",staratlas,"No speed limit. https://pbs.twimg.com/media/HM0iNh5bYAEikBi.jpg",180,24,10,12988,7/9/2026,https://x.com/staratlas/status/2075354317423522155,false
2074263309776466139,"Star Atlas",staratlas,"Patiently waiting. https://pbs.twimg.com/media/HMlDeTya0AAd97b.jpg",174,23,6,11272,7/6/2026,https://x.com/staratlas/status/2074263309776466139,false
2072427112053846335,"Star Atlas",staratlas,"The Q2 2026 Quarterly State of the Economy report is live! Highlights include:  #1 Macro headwinds continue #2 Per-capita emissions ticked up #3 Trade &amp; autarky watch #4 C4 is the turning point  https://storage.googleapis.com/sa-cdn-prod/dao/economy/2026/q2.pdf https://pbs.twimg.com/media/HMK9cHzbQAA3UVH.jpg",192,35,11,15893,7/1/2026,https://x.com/staratlas/status/2072427112053846335,false
2072172294508884081,"Star Atlas",staratlas,"▶️https://www.youtube.com/watch?v=7u9o_BjB1-o The C4 Preparation Window is OPEN! #StarAtlas #WeAreStarAtlas #Web3 #Web3Gaming #Metaverse",0,12,0,6183,6/30/2026,https://x.com/staratlas/status/2072172294508884081,true
2072107927088017499,"Star Atlas",staratlas,"Hammer time. https://pbs.twimg.com/media/HMGXTGIaoAAamYf.jpg",205,29,14,11123,6/30/2026,https://x.com/staratlas/status/2072107927088017499,false
2070250682205004109,"Star Atlas",staratlas,"It's time. https://pbs.twimg.com/media/HLrm9avbEAAB_w5.jpg",245,27,21,13850,6/25/2026,https://x.com/staratlas/status/2070250682205004109,false
2069888292212855198,"Star Atlas",staratlas,"First time? https://pbs.twimg.com/media/HLm0EmgboAA6JRU.jpg",217,26,8,12704,6/24/2026,https://x.com/staratlas/status/2069888292212855198,false
2069562093649699034,"Star Atlas",staratlas,"Night Vision: Activated. https://pbs.twimg.com/media/HLiPv11WUAAlFy9.jpg",258,31,16,17549,6/23/2026,https://x.com/staratlas/status/2069562093649699034,false
2068813948699504742,"Star Atlas",staratlas,"Which one are you rocking? https://pbs.twimg.com/media/HLXnUHxaQAAsdx3.jpg",195,29,19,12768,6/21/2026,https://x.com/staratlas/status/2068813948699504742,false
2067660437693587799,"Star Atlas",staratlas,"We are speed.",190,23,8,8223,6/18/2026,https://x.com/staratlas/status/2067660437693587799,false
2067381835366302128,"Star Atlas",staratlas,"Nothing is impossible. https://pbs.twimg.com/media/HLDQ0WOb0AAybrJ.jpg",198,20,9,5982,6/17/2026,https://x.com/staratlas/status/2067381835366302128,false
2067004505145954743,"Star Atlas",staratlas,"The Arena awaits. https://pbs.twimg.com/media/HK95oCyaIAA0A6e.jpg",191,23,15,6313,6/16/2026,https://x.com/staratlas/status/2067004505145954743,false
2066251263113843179,"Star Atlas",staratlas,"In the decades to follow, $SPCX will take humanity to the stars. Until then, we have Star Atlas.",246,29,18,10917,6/14/2026,https://x.com/staratlas/status/2066251263113843179,false
2065557737413427509,"Star Atlas",staratlas,"Get in. https://pbs.twimg.com/media/HKpVy9NaYAAl4c2.jpg",225,24,15,20800,6/12/2026,https://x.com/staratlas/status/2065557737413427509,false
2065192358044393657,"Star Atlas",staratlas,"Bang. https://pbs.twimg.com/media/HKj_t_ua0AAjFNb.jpg",191,21,12,7298,6/11/2026,https://x.com/staratlas/status/2065192358044393657,false
2064463829363491086,"Star Atlas",staratlas,"New crew, who dis? https://pbs.twimg.com/media/HKZy5dAa4AAo9Hw.jpg",216,33,19,8255,6/9/2026,https://x.com/staratlas/status/2064463829363491086,false
2064111985026052189,"Star Atlas",staratlas,"📡 One week in, the team is hard at work improving the SAGE C4 PTR. Furthermore, the Cultivation Claims sale and PIP-32 are wrapping up.  📰 Read all about it in issue #233 of our weekly @StarAtlas newsletter!  📬 Check your inbox or read it online here:  https://aephia.com/star-atlas/weekly-star-atlas-newsletter-233/",0,7,0,2,6/8/2026,https://x.com/staratlas/status/2064111985026052189,true
2063340615073714646,"Star Atlas",staratlas,"Must watch.",99,10,6,6966,6/6/2026,https://x.com/staratlas/status/2063340615073714646,false
2061867633499312182,"Star Atlas",staratlas,"You can now trade stocks and Perps with 250x leverage in the newly released Galactic Marketplace feature!  Just kidding. You can't. But you can rapidly get your SAGE C4 empire on track with the new tutorial system at http://discord.gg/staratlas.  Galia awaits you.",185,37,16,6591,6/2/2026,https://x.com/staratlas/status/2061867633499312182,false
2061519453893111995,"Star Atlas",staratlas,"🚀 The biggest SAGE update to date is now available in open beta on the http://z.ink testnet! Plus a new UE5 update and more!  📰 Read all about it in issue #232 of our weekly @StarAtlas newsletter!  📬 Check your inbox or read it online here:  https://aephia.com/star-atlas/weekly-star-atlas-newsletter-232/",0,16,0,0,6/1/2026,https://x.com/staratlas/status/2061519453893111995,true
